name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Стажер Back-end разработчика: php, java, python, c#;Москва;https://hh.ru/vacancy/86499208;15000;30000;RUR;Знание одного из языков: php, python, <highlighttext>java</highlighttext>, c#. Наличие учебного опыта серверной разработки. Желательно профильное высшее образование по разработке (если...;Разработка на bitrix framework. Разработка API для мобильных приложений и веб-интерфейсов. Интеграция по API с внешними сервисами (банки, доставщики...;Nti.team;HH
Java Developer;Москва;https://hh.ru/vacancy/86458121;0;0;RUR;Хорошо знаешь <highlighttext>Java</highlighttext> 11 и то, как она устроена внутри. Знаком со всеми или большинством из вышеупомянутых технологий, либо готов...;Разрабатывать функционал банковской системы. Решать сложные и интересные архитектурные задачи. Проектировать новые фичи и рефакторить старые. При желании, выполнять фуллстек...;TWINO;HH
Программист Java (Junior);Йошкар-Ола;https://hh.ru/vacancy/86401118;60000;100000;RUR;Ответственность, обучаемость, стремление развиваться. Умение работать в команде. Знания <highlighttext>Java</highlighttext> Core, основы SQL, основы HTML/CSS/JavaScript. Желателен опыт работы...;"Автоматизацией бизнесс-процессов компании. Развитием CRM, Billing (автоматизированная система расчета услуг связи). Интеграцией с другими информационными системами компании; разработкой новых...";Уфанет;HH
Android developer (java, kotlin);Москва;https://hh.ru/vacancy/86644610;0;0;RUR;Kotlin, <highlighttext>java</highlighttext>. Желательно, но не обязательно. Понимание основ машинного обучения. Понимание работы ARcore. Понимание работы датчиков телефона.;Разработка мобильных приложений. Работа с камерами устройства (фото, видео, тепловизионная). Работа с датчиками мобильного устройства. Внедрение моделей машинного обучения на...;MindSet;HH
Аналитик Junior;Москва;https://hh.ru/vacancy/86626993;50000;70000;RUR;Техническое высшее образование. Общие знания о работе аналитика. Технический склад ума. Грамотная речь.;Анализ требований бизнеса. Постановка задач на разработку по внутренней архитектуре и принципам. Тестирование. Построение проектных решений и диаграмм.;Wanted;HH
Младший разработчик;Нижний Новгород;https://hh.ru/vacancy/82671952;50000;;RUR;Желательно знание PL/SQL или PL/pgSQL, опыт работы с Oracle или PostgreSQL. Плюсом будет знание Scala, <highlighttext>Java</highlighttext>, навыки работы...;Реализация задач среднего уровня сложности по разработке комплексной корпоративной информационной системы под руководством разработчика. Постоянный рост квалификации.;Бизнес Технологии;HH
Java разработчик;Москва;https://hh.ru/vacancy/86517575;0;0;RUR;Опыт коммерческой разработки на <highlighttext>JAVA</highlighttext> от 2-х лет. Понимание принципов Agile. Опыт работы с <highlighttext>Java</highlighttext> 8-11. ;Разработка как нового функционала, так и развитие текущего. Автоматизация функционального тестирования. Исправление дефектов. Участие в ревью кода. Участие в обсуждении...;Центр Новых Финансовых Сервисов;HH
Java-разработчик;Москва;https://hh.ru/vacancy/86644431;170000;;RUR;Уверенное использование IDE IntelliJ IDEA. Умение работать с системами контроля версий (GitLab) и системами сборки( Maven). Опыт разработки, внедрения и...;Поддержка и развитие функциональности существующих сервисов, разработка новых сервисов. Участие в качестве разработчика в R&D команде по развитию компонент...;Эйчар Сервис Партнер;HH
Программист Java (Junior);Казань;https://hh.ru/vacancy/86399367;60000;100000;RUR;Ответственность, обучаемость, стремление развиваться. Умение работать в команде. Знания <highlighttext>Java</highlighttext> Core, основы SQL, основы HTML/CSS/JavaScript. Желателен опыт работы...;Уфанет предоставляет услуги: Интернет, Телефония, Телевидение, Информационные и медийные проекты, IT-сопровождение, Системы безопасности, Умный домофон, Умный дом, Мобильная связь...;Уфанет;HH
Разработчик Java (Junior);Москва;https://hh.ru/vacancy/86455010;0;0;RUR;Высшее оконченное образование. Опыт работы от 1 года. Знания <highlighttext>Java</highlighttext> 8+, Spring Framework, Maven. Любовь к чистоте в коде. ;Разработка бизнес-логики на сервере приложений. Анализ требований, декомпозиция задач. Проектирование решения в составе кросс-функциональной команды. Участие в приемо...;Bell Integrator;HH
Начинающий it-специалист/ Резвый Эникейщик;Москва;https://hh.ru/vacancy/86287550;80000;;RUR;Навыки работы с Windows server 2008/2016, 7, 10, Linux Ubuntu. Страсть и любознательность в изучении нейронных сетей, ИИ и...;"Обслуживание компьютерной техники и оргтехники, сетевой инфраструктуры. Помощь в обслуживании, мелком ремонте компьютеров и оргтехники; апгрейд компьютеров. Помощь в поддержании...";Интеллектуальные робот системы;HH
